t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.05416667,1.60781200,-1.17924000,0.88857230,1.09237500,1229.37900000,895.95230000,-3.39828200,5.39168100,0.65399840,0.03207543,-297.64290000,-95.00148000,-4.98232100,-3.57487400,-3.16257000,-2.52907800,2164.78500000,4017.70400000
0.05520833,1.60937600,-1.17748700,2.70824900,2.38378200,194.52550000,9.00478100,-3.39563700,5.39296200,0.40515720,0.99500960,-718.33880000,761.12500000,-4.98412700,-3.57537700,-2.14372000,3.87146900,3645.60800000,4055.68000000
0.05625000,1.61345400,-1.17427400,1.84660700,1.45953800,-136.66640000,-2548.28600000,-3.39743800,5.39375400,-1.72226600,1.30183100,-1242.47500000,-199.11820000,-4.98678700,-3.56680800,3.27798700,7.04142900,6740.12100000,301.82790000
0.05729167,1.61322300,-1.17444700,1.42486500,-3.07440200,126.22660000,-1163.29200000,-3.39922500,5.39567400,-1.85669000,0.90315630,432.72590000,-647.76070000,-4.97729800,-3.56070700,13.05889000,3.82931600,2358.40000000,-2337.49900000
0.05833333,1.61642300,-1.18067900,2.90008900,-2.11514600,-270.05890000,593.25500000,-3.40130600,5.39563500,-1.00373600,-0.34944250,1167.42400000,-1111.06700000,-4.95958100,-3.55883000,9.55167100,1.76666600,-7907.36700000,-2620.70900000
0.05937500,1.61926500,-1.17885300,0.84680120,-0.05921976,-2523.38800000,2460.81700000,-3.40131700,5.39494600,0.76819740,-1.27806600,881.11370000,-818.23620000,-4.95739900,-3.55702700,-5.08370600,-0.96564730,-10118.65000000,-3198.26100000
0.06041667,1.61818700,-1.18080200,-2.64071200,1.46495400,-2723.11400000,-966.34360000,-3.39970500,5.39297200,0.99165770,-2.14949100,-617.52880000,-603.94300000,-4.97017200,-3.56084200,-12.48335000,-5.41202500,-2413.78200000,-4098.32900000
0.06145833,1.61376300,-1.17580100,-4.92009100,-0.15293230,2953.47700000,-5121.14600000,-3.39925100,5.39046800,-0.63497260,-2.50624400,2215.82200000,-2430.80800000,-4.98340600,-3.56830200,-9.59409000,-9.31122100,3001.31300000,-1624.29700000
0.06250000,1.60793700,-1.18112100,2.40642400,-10.34726000,1209.81900000,-2280.62900000,-3.40102800,5.38775100,4.49506800,-6.63178800,3516.97400000,-3867.46200000,-4.99016000,-3.58024100,-5.45731300,-9.44792100,7162.79900000,4139.51500000
0.06354167,1.61877700,-1.19735800,1.28537300,-6.93069900,-327.30690000,-140.37550000,-3.38988600,5.37665200,8.87704700,-11.56794000,-2530.44700000,-1885.11800000,-4.99477500,-3.58798500,3.97659400,-0.75864210,6847.87900000,4899.58600000
0.06458333,1.61061400,-1.19556000,-2.75082000,-6.27450300,123.40990000,-3579.32300000,-3.38253500,5.36365100,-1.02760600,-10.52464000,-5291.48300000,-33.25734000,-4.98187600,-3.58182100,11.22925000,2.82166800,3153.79000000,1267.15300000
0.06562500,1.61304600,-1.21043000,4.05283300,-17.45606000,3432.19700000,-5227.17600000,-3.39202700,5.35472600,-4.81133400,-10.65048000,-913.60410000,-860.96470000,-4.97138100,-3.58210700,9.14856500,0.00337440,-1940.39800000,-718.58950000
0.06666667,1.61905800,-1.23192600,4.36512100,-17.39343000,-906.67470000,271.44470000,-3.39255800,5.34146300,-0.54244700,-13.13512000,2777.09800000,-3169.25900000,-4.96281600,-3.58181400,7.22885000,1.65049000,-4655.91200000,-403.19460000
0.06770833,1.62214000,-1.24666600,1.69685200,-15.33970000,-3492.81600000,6409.96900000,-3.39315700,5.32736100,0.23494380,-16.62908000,-78.92599000,2409.93100000,-4.95632100,-3.57866800,0.16458660,-0.04680863,-3553.67400000,-944.89600000
0.06875000,1.62259300,-1.26388400,-2.63293700,-6.30326700,669.29410000,6373.37200000,-3.39206900,5.30681900,-0.28148710,-10.28768000,1657.11100000,8261.64400000,-4.96247300,-3.58191200,-2.28469600,-1.60543300,-4045.51300000,77.32531000
0.06979167,1.61665500,-1.25979800,1.38297100,1.39131500,-1192.81200000,8105.86500000,-3.39374300,5.30592800,2.59266800,3.14757700,-1107.15100000,8791.98400000,-4.96108000,-3.58201300,-5.39919400,0.84829300,524.33170000,2153.43800000
0.07083333,1.62547400,-1.26098600,-1.26543200,7.20744900,131.04900000,32.51615000,-3.38666700,5.31337600,-0.19960240,7.74063000,-1218.19600000,1543.40800000,-4.97372100,-3.58014400,-4.69698500,2.79282500,-356.19230000,1857.63100000
0.07187500,1.61401800,-1.24478300,-3.24424100,5.62425600,2390.94600000,-435.02540000,-3.39415900,5.32205500,-3.12426600,6.25635000,959.96850000,-1781.02900000,-4.97086600,-3.57619400,-2.32929600,4.73414600,4044.78900000,2376.25800000
0.07291667,1.61871500,-1.24926800,6.96976300,1.44917100,-549.66520000,847.91040000,-3.39317600,5.32641000,3.58427200,3.45655500,3393.90400000,-1990.86500000,-4.97857400,-3.57028100,0.14096590,7.59565900,1574.32300000,1587.40400000
0.07395833,1.62853900,-1.24176400,-3.01593200,10.04765000,-4695.60300000,1958.51200000,-3.38669200,5.32925600,4.38287600,2.26468000,-1168.58800000,-1654.31100000,-4.97057200,-3.56037000,4.31105600,8.58749300,1494.09600000,-1371.57100000
0.07500000,1.61243200,-1.22833600,-7.81308100,6.44089200,-1233.42200000,-4089.08100000,-3.38404500,5.33112800,0.53299870,0.20743500,-1919.48800000,-1684.05600000,-4.96959300,-3.55239100,1.17913000,4.63167300,-1392.88800000,-4999.58900000
0.07604167,1.61226100,-1.22834500,-1.43978200,-0.63130220,4287.83800000,-3424.17900000,-3.38558100,5.32968800,-0.12009370,-1.60038700,-278.87360000,-867.36880000,-4.96811600,-3.55072100,1.89142400,-2.04052500,-2853.65000000,-5451.29000000
0.07708333,1.60943200,-1.22965100,-0.63463740,-0.11230290,-472.02150000,-686.01060000,-3.38429500,5.32779400,0.70199290,-1.48244300,1098.09200000,129.24290000,-4.96565200,-3.55664200,-3.78617400,-7.12749000,-4256.48100000,-989.35470000
0.07812500,1.61093900,-1.22857900,-1.25973900,-1.31114000,-183.28330000,-466.13850000,-3.38411900,5.32660000,1.61532100,-1.19707900,21.57283000,12.21249000,-4.97600300,-3.56557000,-8.94324700,-4.56560400,869.65420000,-1441.17800000
0.07916667,1.60680800,-1.23238200,-2.32179700,-2.13215500,4937.15100000,-2635.97000000,-3.38093000,5.32530000,1.46429700,-1.48520800,-1532.90500000,283.55590000,-4.98428400,-3.56615400,-1.70394300,-7.75212700,5666.49900000,1624.66300000
0.08020833,1.60610200,-1.23302100,8.56229700,-5.35668000,3611.95500000,-628.82040000,-3.38106800,5.32350500,-1.97752700,-0.79921750,-990.75960000,641.89690000,-4.97955300,-3.58172000,4.50903600,-5.19975000,766.07140000,3868.14800000
0.08125000,1.62464600,-1.24354200,8.88252200,-5.65031800,-2908.90900000,726.26400000,-3.38505000,5.32363500,-1.26419600,0.14694910,386.99600000,320.38280000,-4.97489000,-3.57698600,-0.32369710,4.17114400,1569.56600000,6801.97200000
